City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hermanus,-34.4187,19.2345,16.52,64,54,2.99,ZA,1691084226
edinburgh of the seven seas,-37.0676,-12.3116,14.51,85,96,16.61,SH,1691084226
lompoc,34.6391,-120.4579,25.47,77,20,7.72,US,1691084227
shimoda,34.6667,138.95,26.17,88,19,5.23,JP,1691084227
port-aux-francais,-49.35,70.2167,2.65,83,93,17.89,TF,1691084227
vorgashor,67.5833,63.95,19.55,73,17,2.98,RU,1691084228
hoquiam,46.9809,-123.8893,18.31,84,100,0.45,US,1691084228
stanley,54.868,-1.6985,18.21,87,40,0.0,GB,1691084128
nouadhibou,20.931,-17.0347,24.99,73,5,6.69,MR,1691084229
puerto natales,-51.7236,-72.4875,4.31,91,100,10.58,CL,1691084230
hamilton,39.1834,-84.5333,31.54,52,0,1.54,US,1691084230
kristiansund,63.1115,7.732,17.03,88,75,4.12,NO,1691084231
baoding,38.8511,115.4903,27.53,89,85,2.68,CN,1691084231
puerto ayora,-0.7393,-90.3518,29.98,87,44,2.24,EC,1691084053
barra de santo antonio,-9.4047,-35.5072,27.6,67,85,4.84,BR,1691084232
igarka,67.4667,86.5833,16.34,51,39,2.14,RU,1691084233
progreso,21.2833,-89.6667,33.95,58,6,5.71,MX,1691083663
uturoa,-16.7333,-151.4333,26.07,69,13,7.35,PF,1691084234
enewetak,11.3474,162.3373,28.56,77,78,5.57,MH,1691084234
grytviken,-54.2811,-36.5092,-2.35,84,100,3.43,GS,1691084235
tazacorte,28.629,-17.9293,26.75,78,40,7.2,ES,1691084236
whitehorse,60.7161,-135.0538,16.43,67,20,1.54,CA,1691084236
kone,-21.0595,164.8658,17.19,95,98,2.15,NC,1691084237
arkhangel'sk,64.5401,40.5433,20.59,67,70,2.05,RU,1691084050
adamstown,-25.066,-130.1015,21.28,83,99,8.77,PN,1691084238
olonkinbyen,70.9221,-8.7187,4.4,86,90,7.38,SJ,1691084238
howard springs,-12.497,131.047,23.95,88,24,2.61,AU,1691084238
invercargill,-46.4,168.35,8.34,82,79,1.79,NZ,1691084239
kuanda,56.3161,116.0806,16.46,62,96,1.67,RU,1691084239
blackmans bay,-43.0167,147.3167,11.52,78,100,2.05,AU,1691084240
ribeira grande,38.5167,-28.7,26.22,61,20,8.23,PT,1691084240
saint-pierre,-21.3393,55.4781,21.82,78,20,4.63,RE,1691084241
isafjordur,66.0755,-23.124,11.02,71,100,4.12,IS,1691084241
camalu,30.85,-116.0667,28.05,44,0,6.45,MX,1691084241
lorengau,-2.0226,147.2712,27.13,82,92,4.62,PG,1691084242
nieuw amsterdam,5.8833,-55.0833,33.9,67,30,3.44,SR,1691084242
santo antonio do leverger,-15.8656,-56.0767,36.21,11,0,0.75,BR,1691084243
hede,33.7681,120.2517,25.43,96,0,2.16,CN,1691084243
banda aceh,5.5577,95.3222,26.99,78,100,4.57,ID,1691084244
udachny,66.4167,112.4,6.36,100,97,3.36,RU,1691084244
bethel,41.3712,-73.414,26.4,58,40,5.14,US,1691084088
georgetown,5.4112,100.3354,29.97,77,20,3.09,MY,1691084126
tamiyah,29.4764,30.9612,33.39,23,0,8.74,EG,1691084246
egilsstadir,65.2653,-14.3948,12.95,62,40,5.66,IS,1691084247
acarau,-2.8856,-40.12,30.33,60,9,8.96,BR,1691084247
kiruna,67.8557,20.2251,16.51,72,100,5.66,SE,1691084248
thompson,55.7435,-97.8558,21.09,64,40,0.0,CA,1691084248
ailuk,10.2197,169.9797,28.21,79,100,5.72,MH,1691084249
yellowknife,62.456,-114.3525,20.29,56,75,1.03,CA,1691084191
margaret river,-33.95,115.0667,8.36,79,52,2.49,AU,1691084238
niamey,13.5137,2.1098,33.16,52,40,4.12,NE,1691084234
west island,-12.1568,96.8225,24.99,73,75,9.77,CC,1691084250
port elizabeth,-33.918,25.5701,21.17,72,0,2.06,ZA,1691084251
constantia,44.1833,28.65,27.38,79,0,3.78,RO,1691084251
barah,13.7,30.3667,29.56,52,100,1.84,SD,1691084252
teknaf,20.8624,92.3058,26.96,90,100,4.43,BD,1691084252
avarua,-21.2078,-159.775,22.03,88,75,4.63,CK,1691084253
ust-tsilma,65.441,52.1498,20.25,66,87,0.95,RU,1691084253
urzhar,47.093,81.6294,22.53,33,2,0.92,KZ,1691084253
talnakh,69.4865,88.3972,15.87,43,9,0.85,RU,1691084254
aasiaat,68.7098,-52.8699,3.16,80,60,3.16,GL,1691084255
khandyga,62.6667,135.6,10.3,88,7,0.93,RU,1691084255
ust'-ordynskiy,52.805,104.7508,17.03,94,86,1.12,RU,1691084256
ushuaia,-54.8,-68.3,2.81,70,75,7.72,AR,1691084256
pyay,18.8167,95.2167,25.92,80,84,2.43,MM,1691084256
lins,-21.6786,-49.7425,32.43,18,0,1.4,BR,1691084257
acajutla,13.5928,-89.8275,29.98,71,49,2.79,SV,1691084257
iskateley,67.6803,53.1512,21.6,66,15,1.05,RU,1691084257
saipan,15.1355,145.701,27.39,100,0,0.0,MP,1691084258
nar'yan-mar,67.6713,53.087,21.62,66,14,1.18,RU,1691084258
aconibe,1.2968,10.9369,22.82,74,92,1.19,GQ,1691084259
holualoa,19.6228,-155.9522,23.91,81,75,0.89,US,1691084259
kavaratti,10.5669,72.642,27.86,80,79,7.75,IN,1691084259
tiksi,71.6872,128.8694,2.88,97,100,4.9,RU,1691084260
waitangi,-43.9535,-176.5597,9.34,97,100,4.92,NZ,1691084260
tiassale,5.8983,-4.8283,25.06,84,91,2.53,CI,1691084261
utrik,11.2278,169.8474,28.25,78,95,6.25,MH,1691084261
